Latitude,Longitude
38.3623687,26.17250947
39.44197559,26.3788162
35.87190188,-5.343037666
35.63511591,-5.275650104
19.33447518,-98.06982399
32.057499,-111.6660725
32.057499,-111.6660725
13.86570481,99.58724872
35.31703447,11.07892826
32.057499,-111.6660725
32.057499,-111.6660725
24.0571489,-105.4576698
32.81624347,12.53085141
35.26789522,-2.799562392
25.56391416,-103.4921116
29.42576622,-10.45333329
32.3318032,-112.5245093
35.29825884,-2.688431354
31.7944156,-112.4464473
18.23232618,-69.05735326
32.0577019,-112.1430215
39.01489506,26.18097159
39.27027389,26.39887835
32.81710912,12.87772216
45.1224366,19.2209294
50.97162284,1.858666926
32.83091436,12.78114636
37.76532984,27.09816193
8.642780272,-77.52940449
16.87924277,-92.91636762
32.057499,-111.6660725
-1.4396877,-48.4808635
16.34588387,-92.59558193
35.90789948,-5.347827507
22.1728887,-100.9674528
35.85628499,-5.854248522
32.0577019,-112.1430215
32.0577019,-112.1430215
32.291122,-111.3776691
32.79968026,12.74031089
28.62095869,-100.160775
31.8023841,-110.2622842
32.3318032,-112.5245093
32.79588346,12.73451255
45.25895976,15.40639371
-1.4396877,-48.4808635
35.14307291,-2.9870143
28.71872327,-100.5066474
32.3318032,-112.5245093
32.5630235,-116.9407905
27.13102283,-98.05345125
36.00469428,-5.509231863
36.9195847,37.0347615
32.70599663,-115.1596945
14.67648851,-92.14637539
32.5423758,-116.9995375
32.057499,-111.6660725
32.057499,-111.6660725
22.164571,-100.938266
41.135599,26.32653905
26.9822805,-98.26737951
28.70036057,-100.5107577
35.8933612,-5.320987701
31.20791488,16.50836524
27.04002805,-98.10399094
26.09448342,-98.27073824
19.98481163,-101.1500533
39.41761222,26.3936995
27.02562084,-98.16304245
35.87646642,-5.81271291
35.85058578,-0.543309023
45.4405071,14.1943098
44.92068317,6.673599624
26.36537824,-98.8131396
25.46371166,-100.9798985
35.866178,-5.87896776
36.90259233,8.477123271
34.9603783,-3.380756397
43.8453737,18.3691935
34.70574612,-1.775936609
26.37845348,-98.95654923
34.66739196,-1.812885234
17.7281699,-91.7589941
45.1838373,15.8065454
26.51068669,-76.93717231
26.08203415,-98.25865609
11.90358136,43.33210992
32.057499,-111.6660725
32.057499,-111.6660725
32.057499,-111.6660725
17.87186061,-94.96387177
8.641338758,-77.33068918
27.3454662,-99.50689122
