Latitude, Longitude
32.276924900000, -112.859884600000
26.830437500000, -79.525312500000
-6.840928719012, 37.626193558523
34.869024451220, 34.492835772639
32.541882023698, -117.133734140230
27.028916988435, -98.070345308930
43.609902506139, 13.456590016544
28.759006919815, -100.519348400100
35.481680686032, -3.342110714760
36.175539175051, -3.432980466971
35.940386653024, -5.940460712849
35.963071341506, 36.294640216232
35.914961693807, -5.380634704776
36.010976380608, 36.291893634201
36.385858171134, -2.625576919231
28.655830400381, -100.480611280930
35.862101496706, -3.230474337214
36.656665744128, 1.229045427169
31.785528500000, -111.466392500000
45.121869068460, 19.213236824545
28.702360352070, -100.511538546900
36.174642255222, -3.809567348437
37.074835893000, 8.724048757827
31.897189083031, -106.439103643990
32.402664900000, -111.427588800000
31.589492200000, -111.363378900000
32.331803200000, -112.524509300000
31.814869000000, -111.822328500000
32.057499000000, -111.666072500000
19.112562500000, -69.313437500000
32.538296700000, -117.014062400000
29.827611906085, -102.592432413280
40.989655000000, 24.630244000000
27.630474000000, -99.625893000000
35.555360000000, -3.233348000000
32.057499000000, -111.666072500000
32.665484522394, -115.502037019710
26.182455064507, -98.379822163351
27.629882000000, -99.626826000000
28.337657000000, -100.308865000000
17.997026000000, -95.385768000000
31.770748000000, -106.499407000000
27.427587000000, -99.491763000000
17.962065000000, -68.291500000000
35.948083000000, -5.277967000000
41.090092000000, 26.347378000000
32.659213618060, -115.577444479100
32.835794000000, 15.372368000000
36.993449000000, 4.395623000000
26.160750000000, -98.349042000000
41.306959000000, 26.519596000000
26.150512000000, -98.338580000000
36.206410000000, -0.440445000000
25.886732000000, -97.518249000000
27.122955000000, -98.093600000000
31.916318900000, -112.935779900000
29.608160591764, -102.883570108590
45.081655670171, 19.196530946899
32.534377000000, -117.066199000000
45.408498000000, 15.391822000000
37.595408000000, 7.867908000000
11.788676000000, 99.791487000000
35.944056000000, -4.296153000000
27.499653000000, -99.505310000000
32.662275000000, -116.223979000000
27.778512000000, -98.724081000000
32.705055619243, -116.357761744710
40.954982000000, 24.386152000000
36.150154000000, -3.405538000000
29.097150000000, -110.919818000000
41.051762000000, 25.475700000000
45.565971000000, 14.234048000000
28.267376000000, -105.477996000000
28.756048379149, -100.530605432730
35.943355978115, -2.447945545313
35.332202000000, -2.746510000000
36.837397656734, 31.765854155410
32.525530100000, -117.009588600000
36.125482848253, -3.019234607813
37.101562000000, 7.867572000000
32.604487000000, -115.379027000000
27.088454736067, -98.224044482031
32.525530100000, -117.009588600000
32.511197835073, -116.080225617040
32.673095138309, -115.391251701330
36.957355521278, 27.406164084473
36.207723272813, -6.263366759375
27.330210520667, -98.630746182528
29.822677770283, -10.210486774219
51.095487806190, 1.120740941664
26.955081229481, -97.828384703299
16.525452000000, -85.875321000000
13.511667000000, 2.125278000000
25.888653822568, -97.523186761530
19.025215788750, -96.317462928047
20.023597000000, -99.217633000000
26.097296000000, -98.261871000000
38.844062326256, 8.408826454492
27.381818793300, -99.448285378522
44.765773000000, 20.467632000000
8.271988000000, 34.587575000000
27.194011764208, -98.274634046484
39.076232633511, 26.729897242187
27.149020794829, 63.291549697656
40.706812500000, 23.191562500000
44.522738789151, 19.151800033374
12.639167000000, -8.002778000000
16.967643000000, 7.985137000000
40.739954570559, 23.016855162231
36.709463477802, -4.221767056592
35.896543454211, -5.300197427261
35.203978684726, 12.812646562500
27.031213823663, -97.970171350586
37.596845000000, 7.868337000000
36.829138418553, 37.987020277664
11.316667000000, -5.666667000000
11.316667000000, -5.666667000000
28.330220711783, -100.301303382470
19.911531499716, -99.363792495337
38.645007505791, 44.204894246094
11.316667000000, -5.666667000000
36.146208377123, -6.010210826953
35.537958511526, -2.934664072461
39.488630000000, 20.280311000000
31.967683100000, -113.013308300000
10.487500000000, -5.653611000000
12.050000000000, 0.366667000000
12.190000000000, 1.390000000000
28.507101348765, -100.318219816460
-12.784647790344, 45.100326031250
31.674569600000, -110.922837800000
11.183333000000, -4.283333000000
14.960978200000, -91.807458600000
25.881211791344, -97.479659873636
31.812760500000, -109.728415100000
35.996902662085, 36.359899433160
12.050000000000, 0.366667000000
12.050000000000, 0.366667000000
44.522662295480, 19.152572509570
11.183333000000, -4.283333000000
17.596983200000, -92.826550300000
8.734584000000, 44.788894000000
22.396611000000, 26.693147000000
26.408852300000, -99.015655400000
35.157968537571, -2.905610943750
19.635357000000, 27.103538000000
26.910418000000, 14.509939000000
6.666667000000, -1.616667000000
14.676584275856, -92.147321116516
-9.311028000000, 32.777507000000
-14.395626000000, 34.325744000000
9.322813000000, 42.787821000000
12.250000000000, -0.616667000000
35.818965090848, -4.128170864062
36.951540206154, 27.239748161133
35.783607000000, -3.071865000000
12.953846000000, 36.152215000000
9.511606000000, 44.059039000000
21.143170000000, 23.823002000000
35.442087951783, -3.127679063281
18.074280000000, 34.434549000000
35.357502053477, -3.798174029297
35.858384350643, 36.116948497315
40.880611200000, 26.045885000000
41.507704846227, 26.598028237012
5.540402403214, -73.361254635582
31.488233400000, -111.542807100000
12.953846000000, 36.152215000000
12.357222000000, -1.535278000000
32.057499000000, -111.666072500000
-12.949113000000, 28.674062000000
-2.552360000000, 36.797570000000
20.610678000000, 27.916851000000
37.013780762096, 27.441440497437
15.110817101047, -92.430899979102
-4.841440546257, 39.456025576692
27.285937858565, -99.401121846289
9.020952000000, 46.451457000000
35.317074762986, -2.958625089834
16.661687669465, -92.558634566602
28.505441998889, -100.324571287400
-13.861550000000, 33.782244000000
18.074280000000, 34.434549000000
14.449858800000, -90.642999900000
35.288086655038, -3.114351178125
